vessel,string,pot.size,mesh.size,bait,subsample.rate,species.code,sex,size,legal,pot,datein,timein,depthin,startlat,startlon,depthout,endlat,endlon,dateout,timeout
Erla-N,1,5x5,,halibut,2,923,1,187,1,1,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,177,1,1,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,157,1,1,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,160,1,1,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,153,1,1,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,148,1,1,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,165,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,166,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,148,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,165,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,180,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,170,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,178,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,166,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,154,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,163,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,163,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,142,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,152,1,2,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,158,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,147,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,160,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,172,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,148,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,163,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,158,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,181,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,155,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,152,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,141,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,152,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,151,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,150,1,3,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,142,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,162,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,148,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,148,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,148,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,140,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,151,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,147,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,162,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,162,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,140,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,130,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,159,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,145,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,156,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,141,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,159,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,153,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
Erla-N,1,5x5,,halibut,1,923,1,150,1,4,8/4/2015,17:00,132,52.4448,-170.4151,133,52.4509,-170.4052,8/17/2015,3:00
